school_id,transfer_rate_4yr_full_time,transfer_rate_4yr_full_time_pooled,transfer_rate_cohort_4yr_full_time,transfer_rate_less_than_4yr_full_time,transfer_rate_less_than_4yr_full_time_pooled
483470,,,,0.0,0.0
409193,,,,0.0,0.0
484172,,,,0.0,0.0
439932,,,,0.0,0.0
493637,,,,0.0,0.0
441672,,,,0.0,0.0
491598,,,,0.0,0.0
457794,,,,0.0,0.0
447722,,,,0.0,0.0
204121,,,,0.05,0.0227
170736,,,,0.0,0.0
459523,,,,0.0,0.0
481252,,,,0.0,0.0876
492935,,,,0.0,0.0
495244,,,,0.0,0.0
444361,,,,0.0,0.0
377281,,,,0.0,0.0
439774,,,,0.0,0.0
434469,,,,0.0,0.0
483869,,,,0.0,0.0
199971,,,,,
459541,,,,0.1111,0.0556
421896,,,,0.0,0.0
436553,,,,0.0,0.0
439686,,,,0.0,0.0
379746,,,,0.0,0.0
484996,,,,0.0,0.0
457192,,,,0.0,0.0
215336,,,,0.0,0.0
445498,,,,0.0,0.0
449092,,,,0.1122,0.0498
483850,,,,0.0,0.0
161855,,,,0.0,0.0
444264,,,,0.0,0.0
207786,,,,0.0,0.0
451547,,,,0.0417,0.0833
449445,,,,0.0,0.0
469416,0.0,0.0345,110.0,,
223852,,,,0.0,0.0
373456,,,,0.0,0.0476
243203,,,,,
488138,,,,0.0,0.0
484066,,,,0.0,0.0
448257,,,,0.037,0.0238
449773,,,,0.0,0.0
373216,,,,0.0,0.0
417637,,,,0.0,0.0
495217,,,,0.0,0.0
449807,,,,0.0147,0.0191
201803,,,,0.0,0.0
455974,,,,0.0,0.0
204723,,,,0.0,0.0
237242,,,,0.0,0.0
431123,,,,0.0,0.0
377272,,,,0.0,0.0
369686,,,,0.0,0.0
490249,,,,0.0,0.0
178828,,,,0.0,0.0
488059,,,,0.0,0.1
376288,,,,0.0,0.0
481483,,,,0.0058,0.0095
415987,,,,0.0,0.0
369783,,,,0.0,0.0
461652,,,,0.0,0.0213
449357,,,,0.0,0.0
446598,,,,0.0,0.0
493558,,,,0.0,0.0
430795,,,,0.0,0.0
431196,,,,0.0,0.0333
134228,,,,0.0,0.0
422835,,,,0.0,0.0
431284,,,,0.0,0.0
480888,,,,0.0,0.0
460109,,,,0.0,0.0
194435,,,,0.0,0.0
110194,,,,0.0,0.0
460932,,,,0.0,0.0
461810,,,,0.0,0.0
447865,,,,0.0,0.0
448239,,,,,
413972,,,,0.0,0.0
476498,,,,0.0,0.0
108065,,,,0.0714,0.1
476869,,,,0.0,0.0
447449,,,,0.0,0.0
485573,,,,0.0,0.0
457396,,,,0.0,0.0
444404,,,,0.0,0.0
449603,,,,0.0,0.0
495129,,,,0.042,0.0245
448275,,,,0.0,0.0
476610,,,,0.0,0.0
146533,,,,,
449135,0.0,0.0,65.0,,
487959,,,,0.0,0.0
237491,,,,0.0,0.0
417910,,,,0.0,0.0
461263,0.0,0.0,19.0,,
193858,,,,0.0038,0.0012
486415,,,,0.2813,0.197
261773,,,,0.0,0.0
409032,,,,0.0,0.0
419721,,,,0.0,0.0
194666,0.0,0.0,49.0,,
481191,,,,0.0,0.0
481863,,,,0.0,0.0
484020,,,,0.0,0.0
457606,,,,0.0,0.0
446206,,,,0.0625,0.0244
143491,,,,0.0,0.0
488378,,,,0.0,0.0
248624,,,,0.0,0.0
420370,,,,0.0,0.0
109730,,,,0.0,0.0
441575,,,,0.0,0.0
238005,,,,0.0,0.0
493150,,,,0.0,0.0
